lng,lat
128.891766,37.743791
128.890913,37.741743
128.912929,37.776219
128.911915,37.756522
128.913594,37.785999
128.899206,37.744483
128.825875,37.878315
128.975055,37.737293
128.901945,37.744867
128.884001,37.751085
128.904976,37.763594
128.826669,37.876066
128.822481,37.892034
128.839951,37.868566
128.914143,37.785454
128.916792,37.764602
128.898695,37.744468
128.913502,37.771178
128.914745,37.771619
128.917883,37.783956
128.901206,37.76902
128.913416,37.776179
128.915309,37.770434
128.829329,37.882156
128.900883,37.745191
128.892774,37.743639
128.914761,37.784863
128.898017,37.744627
128.912277,37.761997
128.899392,37.801966
128.915487,37.760954
128.900971,37.759949
128.934952,37.77811
128.895943,37.743958
128.901336,37.757297
128.934991,37.775812
128.909044,37.775078
128.822966,37.883462
128.899259,37.747888
128.907471,37.759727
128.902359,37.750874
128.888323,37.763297
128.819287,37.905427
128.828021,37.881147
128.907906,37.760913
128.90824,37.762289
128.908521,37.76208
128.8241497,37.88452311
128.907021,37.759064
128.891318,37.746164
128.911573,37.768463
128.907821,37.772582
128.915494,37.768838
128.908538,37.761566
128.9039652,37.76180506
128.919434,37.768996
128.829174,37.881535
128.893992,37.767579
128.905353,37.745165
128.826725,37.882147
128.905596,37.769779
129.029278,37.59876
128.906668,37.753391
128.892486,37.765924
128.91141,37.769023
128.888394,37.764486
128.931087,37.776771
128.905904,37.76247
128.907828,37.771294
128.90954,37.763676
129.032943,37.609135
128.903991,37.771251
128.911975,37.777136
128.894152,37.745008
128.906857,37.754966
128.909881,37.764646
128.910034,37.754887
128.908883,37.762888
128.909686,37.76636
128.903869,37.766819
128.907226,37.754485
128.910453,37.755758
128.908446,37.763342
129.036168,37.610602
128.896892,37.752033
128.910739,37.774434
128.907266,37.770766
128.880153,37.755763
128.909112,37.764004
128.935005,37.776064
128.90097,37.768256
128.840619,37.868291
128.914036,37.766624
128.897117,37.771574
128.91023,37.755201
128.819475,37.707644
128.894165,37.76874
128.908575,37.770153
128.890806,37.742285
128.887831,37.762995
128.89704,37.746454
128.9161918,37.78391877
128.912818,37.759857
128.877445,37.740808
128.936114,37.775758
128.910541,37.772246
128.825375,37.901681
128.985281,37.730685
128.910372,37.775995
128.910529,37.754577
128.910783,37.753962
128.906422,37.77508
128.904185,37.767619
128.901891,37.745949
128.894357,37.744141
128.87888,37.741248
128.878233,37.755579
128.909327,37.766687
128.913263,37.774829
128.914896,37.77742
128.910978,37.776414
128.905936,37.767821
128.916162,37.780708
128.914977,37.769265
128.910978,37.776414
128.913226,37.766278
128.909532,37.764937
128.890402,37.766318
128.895481,37.768694
128.910235,37.770392
128.91541,37.763856
128.892971,37.768497
128.912013,37.769126
128.890251,37.745235
128.901354,37.770001
128.905949,37.760532
128.912069,37.759863
128.894737,37.76906
128.824066,37.880193
128.8212354,37.88802744
128.823566,37.87816
128.824654,37.905417
128.838099,37.870624
128.920677,37.769437
128.902921,37.76916
128.893663,37.769465
128.821395,37.881266
128.911549,37.755362
128.904666,37.767966
128.920388,37.769917
128.885635,37.759695
128.933257,37.778763
128.889311,37.745333
128.905274,37.750761
128.889552,37.764495
128.921582,37.770088
128.927196,37.77517
128.916581,37.760342
128.885002,37.749356
128.826556,37.878193
128.911462,37.755714
128.876258,37.7432
128.866086,37.738963
128.890068,37.761425
128.831799,37.899955
128.903773,37.781149
128.470942,38.37725
128.465815,38.37737
128.44937,38.438589
128.47907,38.379262
128.46366,38.378621
128.554666,38.268157
128.454959,38.434892
128.450548,38.445747
128.463404,38.377893
129.1025102,37.5475551
129.1099091,37.4810415
129.0938729,37.4874632
129.0998976,37.5409561
129.1005582,37.5404074
129.1030714,37.4927587
129.1004217,37.5398951
129.1024811,37.5278272
129.1055386,37.4871447
129.1055386,37.4871447
129.1058573,37.5502161
129.1094979,37.4904676
129.1013225,37.5400571
129.1046973,37.5443846
129.1102678,37.4975122
129.1102678,37.4975122
129.1087828,37.5383771
129.1121623,37.5215905
129.1017049,37.5374351
129.0553361,37.4931111
129.1250187,37.4805589
129.1186236,37.4800934
129.1119072,37.5204837
129.1215798,37.4939811
129.1223852,37.5109967
129.1053255,37.5365785
129.1061702,37.5383015
129.1086245,37.5165185
129.1080222,37.5161808
129.1073654,37.5160545
129.0643481,37.4860408
129.0573147,37.4950179
129.0496332,37.4590031
129.1120888,37.5322594
129.1003111,37.5375264
129.0992549,37.4882927
129.1024226,37.5366129
129.0985709,37.4879873
129.0993131,37.5396063
129.0988987,37.5397426
129.1017081,37.5367286
129.1128355,37.5242638
129.0988484,37.5402467
129.1059498,37.5378585
129.1076765,37.5054194
129.1234065,37.4828314
129.1109165,37.4782921
129.1102691,37.4782359
129.1114311,37.4795225
129.1091038,37.5407185
129.1075727,37.5242637
129.1278704,37.4839566
129.1131408,37.5209767
129.1220837,37.4809454
129.1097521,37.5193344
129.1041406,37.5209081
129.1041406,38.5209081
129.1041406,39.5209081
129.1056934,37.5165063
129.1056934,37.5165063
129.1006275,37.5281842
129.1169533,37.4686421
129.1062791,37.5264519
129.1150358,37.5318568
129.1117534,37.5330672
129.1169533,37.4686421
129.0945364,37.4873688
129.1070765,37.5259029
129.1088679,37.5267763
129.099258,37.528321
129.1106581,37.5275587
129.1057797,37.5190617
129.1299716,37.4818091
129.1088166,37.4871428
129.1096067,37.4871183
129.178328,37.43442
129.164846,37.44131
129.165649,37.441393
129.165215,37.441935
129.164884,37.443604
129.164941,37.443621
129.165907,37.446936
129.165875,37.442874
129.164789,37.44361
129.16849,37.443063
129.168435,37.443036
129.168888,37.443122
129.165394,37.440437
129.165895,37.442494
129.169157,37.442984
129.175925,37.435681
129.166708,37.446856
129.043793,37.232307
129.049354,37.24245
